time,n0v,n1v
0.1,-55.2326,18.1498
0.2,-55.7657,14.5684
0.3,-56.507,8.8259
0.4,-57.3632,3.5069
0.5,-58.2567,-1.07241
0.6,-59.1208,-5.18909
0.7,-59.9205,-9.07598
0.8,-60.6511,-12.8588
0.9,-61.3181,-16.9171
1,-61.9253,-21.7463
1.1,-62.4762,-29.0315
1.2,-62.9757,-41.3107
1.3,-63.4255,-53.3795
1.4,-63.8301,-60.9975
1.5,-64.1938,-65.6425
1.6,-64.519,-68.5415
1.7,-64.8096,-70.3964
1.8,-65.0682,-71.5996
1.9,-65.2978,-72.3893
2,-65.5008,-72.9062
2.1,-65.6795,-73.2435
2.2,-65.8362,-73.4631
2.3,-65.9729,-73.589
2.4,-66.0915,-73.6568
2.5,-66.1934,-73.6778
2.6,-66.2807,-73.6729
2.7,-66.354,-73.6505
2.8,-66.4149,-73.6069
2.9,-66.4647,-73.5621
3,-66.5044,-73.5037
3.1,-66.5341,-73.4414
3.2,-66.5559,-73.369
3.3,-66.5696,-73.2993
3.4,-66.5772,-73.2283
3.5,-66.578,-73.1529
3.6,-66.5728,-73.0825
3.7,-66.5624,-73.0134
3.8,-66.5473,-72.9407
3.9,-66.5284,-72.8729
4,-66.505,-72.7986
4.1,-66.478,-72.7209
4.2,-66.4474,-72.6519
4.3,-66.4143,-72.5826
4.4,-66.3792,-72.5154
4.5,-66.3412,-72.4458
4.6,-66.3011,-72.3758
4.7,-66.2583,-72.3125
4.8,-66.2143,-72.2415
4.9,-66.1688,-72.1746
5,-66.1222,-72.1088
5.1,-66.0733,-72.0439
5.2,-66.0239,-71.9756
5.3,-65.9733,-71.9113
5.4,-65.9215,-71.84
5.5,-65.8686,-71.774
5.6,-65.8148,-71.7051
5.7,-65.7602,-71.6433
5.8,-65.7048,-71.5838
5.9,-65.6495,-71.5198
6,-65.5933,-71.4588
6.1,-65.5365,-71.3938
6.2,-65.4793,-71.3335
6.3,-65.4221,-71.2707
6.4,-65.3643,-71.2127
6.5,-65.3062,-71.1564
6.6,-65.2479,-71.1048
6.7,-65.1894,-71.047
6.8,-65.1306,-70.9876
6.9,-65.0717,-70.9297
7,-65.0127,-70.8781
7.1,-64.9535,-70.8174
7.2,-64.8942,-70.762
7.3,-64.8348,-70.7071
7.4,-64.7753,-70.6578
7.5,-64.7159,-70.6022
7.6,-64.6564,-70.5494
7.7,-64.5968,-70.5009
7.8,-64.5373,-70.4546
7.9,-64.4778,-70.4086
8,-64.4184,-70.3638
8.1,-64.359,-70.313
8.2,-64.3,-70.2638
8.3,-64.2409,-70.2152
8.4,-64.1818,-70.1653
8.5,-64.1225,-70.1165
8.6,-64.0633,-70.0717
