time,n0v,n1v
0.1,-55.0702,18.1492
0.2,-55.1579,14.5666
0.3,-55.2838,8.82307
0.4,-55.4358,3.50293
0.5,-55.6013,-1.07772
0.6,-55.7713,-5.1961
0.7,-55.9361,-9.08534
0.8,-56.0918,-12.8717
0.9,-56.2426,-16.9364
1,-56.3889,-21.7796
1.1,-56.5295,-29.1009
1.2,-56.6685,-41.4284
1.3,-56.7984,-53.4751
1.4,-56.922,-61.0669
1.5,-57.0434,-65.6957
1.6,-57.1551,-68.5853
1.7,-57.2644,-70.4346
1.8,-57.3667,-71.6348
1.9,-57.4677,-72.4232
2,-57.5634,-72.9398
2.1,-57.657,-73.2777
2.2,-57.7437,-73.4984
2.3,-57.8266,-73.6259
2.4,-57.9043,-73.6957
2.5,-57.9791,-73.7189
2.6,-58.0471,-73.7166
2.7,-58.1127,-73.697
2.8,-58.1748,-73.6564
2.9,-58.2323,-73.6148
3,-58.286,-73.5599
3.1,-58.3395,-73.5012
3.2,-58.387,-73.4324
3.3,-58.4335,-73.3666
3.4,-58.473,-73.2997
3.5,-58.5118,-73.2286
3.6,-58.5487,-73.1627
3.7,-58.583,-73.0982
3.8,-58.6145,-73.0303
3.9,-58.6412,-72.9675
4,-58.6682,-72.8983
4.1,-58.6931,-72.8258
4.2,-58.717,-72.7622
4.3,-58.7374,-72.6985
4.4,-58.7528,-72.6372
4.5,-58.7682,-72.5735
4.6,-58.7813,-72.5097
4.7,-58.7955,-72.4527
4.8,-58.8055,-72.388
4.9,-58.813,-72.3278
5,-58.8172,-72.2687
5.1,-58.8246,-72.2107
5.2,-58.8261,-72.1495
5.3,-58.8272,-72.0924
5.4,-58.8276,-72.0283
5.5,-58.8283,-71.9699
5.6,-58.8281,-71.9086
5.7,-58.8278,-71.8547
5.8,-58.8269,-71.8034
5.9,-58.8195,-71.7476
6,-58.8146,-71.695
6.1,-58.8097,-71.6384
6.2,-58.8041,-71.5868
6.3,-58.7925,-71.5328
6.4,-58.7849,-71.4838
6.5,-58.775,-71.4369
6.6,-58.7628,-71.3949
6.7,-58.752,-71.3466
6.8,-58.7383,-71.2968
6.9,-58.7242,-71.2486
7,-58.71,-71.2073
7.1,-58.6977,-71.1564
7.2,-58.6831,-71.1113
7.3,-58.6689,-71.0668
7.4,-58.6502,-71.0284
7.5,-58.6351,-70.9834
7.6,-58.6188,-70.9415
7.7,-58.5994,-70.9044
7.8,-58.5821,-70.8698
7.9,-58.5644,-70.8354
8,-58.546,-70.8026
8.1,-58.528,-70.7635
8.2,-58.5129,-70.7261
8.3,-58.4951,-70.6895
8.4,-58.4768,-70.6515
8.5,-58.4565,-70.615
8.6,-58.4356,-70.5829
8.7,-58.4144,-70.5511
8.8,-58.3922,-70.5183
8.9,-58.3716,-70.4847
9,-58.3533,-70.454
9.1,-58.3309,-70.4221
9.2,-58.3081,-70.3903
9.3,-58.2866,-70.3567
9.4,-58.2659,-70.3287
9.5,-58.2417,-70.303
9.6,-58.2228,-70.2755
9.7,-58.204,-70.2433
9.8,-58.1785,-70.2212
9.9,-58.154,-70.1957
10,-58.1341,-70.1665
10.1,-58.1101,-70.1385
10.2,-58.0847,-70.11
10.3,-58.0636,-70.0825
10.4,-58.0432,-70.0585
10.5,-58.02,-70.0363
10.6,-57.9946,-70.0151
10.7,-57.9701,-69.9917
10.8,-57.9445,-69.9712
10.9,-57.9233,-69.9483
11,-57.9005,-69.928
11.1,-57.8771,-69.9044
11.2,-57.8562,-69.8847
11.3,-57.8329,-69.8631
11.4,-57.8107,-69.8449
11.5,-57.7877,-69.8215
11.6,-57.7658,-69.7994
11.7,-57.7409,-69.7777
11.8,-57.7175,-69.7615
11.9,-57.6936,-69.7437
12,-57.6737,-69.7257
12.1,-57.6525,-69.7149
12.2,-57.6267,-69.6957
12.3,-57.6068,-69.679
12.4,-57.5842,-69.6628
12.5,-57.5623,-69.6473
12.6,-57.5408,-69.6294
12.7,-57.5204,-69.6129
12.8,-57.4989,-69.5964
12.9,-57.4765,-69.58
13,-57.4552,-69.5642
13.1,-57.4355,-69.5482
13.2,-57.4119,-69.5365
13.3,-57.3886,-69.5237
13.4,-57.3651,-69.514
13.5,-57.3461,-69.4974
13.6,-57.3229,-69.484
13.7,-57.3023,-69.4751
13.8,-57.2801,-69.4616
13.9,-57.2567,-69.4507
14,-57.2353,-69.4393
14.1,-57.2129,-69.427
14.2,-57.1878,-69.4183
14.3,-57.1666,-69.4073
14.4,-57.1474,-69.3976
14.5,-57.1212,-69.3887
14.6,-57.0973,-69.3758
14.7,-57.0753,-69.366
14.8,-57.0551,-69.3572
14.9,-57.0296,-69.3483
15,-57.0073,-69.3406
15.1,-56.9853,-69.3299
15.2,-56.9627,-69.3207
15.3,-56.944,-69.3168
15.4,-56.9217,-69.3124
