time,n0v,n1v
0.1,-55.2326,18.1492
0.2,-55.7657,14.5666
0.3,-56.507,8.82307
0.4,-57.3632,3.50293
0.5,-58.2567,-1.07772
0.6,-59.1207,-5.1961
0.7,-59.9204,-9.08534
0.8,-60.6509,-12.8717
0.9,-61.3178,-16.9364
1,-61.925,-21.7796
1.1,-62.4757,-29.1009
1.2,-62.9752,-41.4284
1.3,-63.425,-53.4751
1.4,-63.8296,-61.0669
1.5,-64.1933,-65.6957
1.6,-64.5184,-68.5853
1.7,-64.809,-70.4346
1.8,-65.0676,-71.6348
1.9,-65.2972,-72.4232
2,-65.5002,-72.9398
2.1,-65.6788,-73.2777
2.2,-65.8356,-73.4984
2.3,-65.9723,-73.6259
2.4,-66.0909,-73.6957
2.5,-66.1927,-73.7189
2.6,-66.28,-73.7166
2.7,-66.3534,-73.697
2.8,-66.4143,-73.6564
2.9,-66.4641,-73.6148
3,-66.5038,-73.5599
3.1,-66.5334,-73.5012
3.2,-66.5553,-73.4324
3.3,-66.569,-73.3666
3.4,-66.5766,-73.2997
3.5,-66.5774,-73.2286
3.6,-66.5722,-73.1627
3.7,-66.5618,-73.0982
3.8,-66.5467,-73.0303
3.9,-66.5278,-72.9675
4,-66.5044,-72.8983
4.1,-66.4774,-72.8258
4.2,-66.4469,-72.7622
4.3,-66.4137,-72.6985
4.4,-66.3786,-72.6372
4.5,-66.3406,-72.5735
4.6,-66.3005,-72.5097
4.7,-66.2578,-72.4527
4.8,-66.2138,-72.388
4.9,-66.1683,-72.3278
5,-66.1216,-72.2687
5.1,-66.0727,-72.2107
5.2,-66.0234,-72.1495
5.3,-65.9727,-72.0924
5.4,-65.921,-72.0283
5.5,-65.8681,-71.9699
5.6,-65.8143,-71.9086
5.7,-65.7597,-71.8547
5.8,-65.7043,-71.8034
5.9,-65.649,-71.7476
6,-65.5928,-71.695
6.1,-65.536,-71.6384
6.2,-65.4788,-71.5868
6.3,-65.4216,-71.5328
6.4,-65.3638,-71.4838
6.5,-65.3057,-71.4369
6.6,-65.2474,-71.3949
6.7,-65.1889,-71.3466
6.8,-65.1302,-71.2968
